x,y,Slope12,DEM12,rainfall_intensity,Aspect_nakhon,raster_ndvi,distance_road,distance_drainage,distance_fault,Curvature_nakhon,NDWI_combine,nakhon_geology,S/N
587635.5,1026116.813,0,-16,1321.199707,30.96375656,0.374051005,0,1456.867554,2615.157227,0.423606724,-0.347203106,109,-1
588562.1875,1025249.875,2.560638905,-16,1319.581665,296.5650635,0.305462778,485.6225281,686.7739868,3915.214111,-0.317705035,-0.285638869,109,-1
589967.25,1025040.563,0,-21,1302.914063,161.5650482,0.31984359,485.6225281,1373.547974,3792.833252,-0.105901681,-0.302438855,49,-1
590415.6875,1025907.563,2.560638905,-18,1303.698853,351.8699036,0.380952388,0,2060.321777,3792.833252,0.105901681,-0.347877145,109,-1
588592.125,1026206.5,1.620137453,-18,1322.298584,324.4623108,0.40788433,0,1535.673218,3109.501465,0.105901681,-0.371959329,109,-1
592119.6875,1026116.813,2.290610075,-22,1304.434937,165.9637604,0.279880464,971.2450562,3433.869873,3535.385254,-0.211803362,-0.276050895,147,-1
591820.75,1025489,0.810230672,-22,1303.854126,206.5650482,0.220623195,485.6225281,2747.095947,3257.655029,-0.63541007,-0.187335089,109,-1
590923.875,1025758.063,2.290610075,-15,1303.806519,258.6900635,0.23187153,0,2428.112549,3501.873779,0.105901681,-0.248170957,109,-1
588711.6875,1024711.75,1.811248064,-11,1318.279053,198.4349518,0.347128451,971.2450562,485.6225281,4343.540039,-0.211803362,-0.319407165,109,-1
590326,1024203.563,2.429397106,-19,1301.759521,270,0.344488204,1085.88501,686.7739868,3109.501465,-0.105901681,-0.317312151,109,-1
589399.25,1024353,2.290610075,-13,1317.553467,111.8014069,0.333610505,1456.867554,0,3792.833252,0.211803362,-0.307410121,109,-1
587904.5,1024502.5,2.560638905,-16,1317.039063,243.4349518,0.312068045,485.6225281,0,4004.545898,-0.211803362,-0.297532767,109,-1
588741.5625,1023964.375,3.337110758,-11,1315.78833,305.5376892,0.381478995,1456.867554,485.6225281,3792.833252,0.211803362,-0.349921167,109,-1
586918,1023725.25,2.290610075,-9,1312.83252,18.43494797,0.320766479,485.6225281,971.2450562,4856.225098,-0.105901681,-0.314214855,29,-1
585841.8125,1024083.938,0,-7,1312.329956,0,0.41820541,1373.547974,1085.88501,4477.218262,-0.105901681,-0.387530446,29,-1
585154.1875,1024024.188,3.433630466,-14,1311.313965,270,0.415513873,1456.867554,1535.673218,4343.540039,0,-0.38792032,29,-1
