x,y,Slope12,DEM12,rainfall_intensity,Aspect_nakhon,raster_ndvi,distance_road,distance_drainage,distance_fault,Curvature_nakhon,NDWI_combine,nakhon_geology,S/N
570797,960928,30.29019928,472,1576.119995,47.35329819,0.440295428,2428.112549,485.6225281,1750.93689,0.953115165,-0.412031412,32,1
572352,960960,21.81380081,581,1580.180054,78.69007111,0.423421472,971.2450562,971.2450562,1535.673218,0.529508412,-0.398857802,32,1
572091,960957,25.41629982,604,1580.180054,267.510437,0.369268149,971.2450562,971.2450562,1535.673218,0.211803362,-0.335068375,32,1
568763,960819,17.74469948,605,1572.300049,78.94358826,0.41504097,4370.602539,1535.673218,686.7739868,-0.529508412,-0.38536796,32,1
568303,960939,22.77079964,775,1570.51001,75.42578125,0.414205402,4607.02002,1373.547974,686.7739868,0.741311789,-0.368135452,32,1
569277,960879,25.65069962,579,1572.219971,54.8939209,0.409366995,3884.980225,1373.547974,1373.547974,0.741311789,-0.380622953,32,1
568809,961024,25.21839905,579,1571.280029,97.98011017,0.423020393,4370.602539,1750.93689,1085.88501,0.529508412,-0.392130733,32,1
568555,960974,22.34740067,674,1571.280029,108.0604706,0.432747513,4370.602539,1750.93689,1085.88501,0.105901681,-0.403387725,32,1
568988,961073,6.889679909,510,1571.280029,358.0250549,0.435206473,4370.602539,1750.93689,1085.88501,-1.059016824,-0.401108056,32,1
569599,961089,23.89069939,533,1573.329956,56.84207535,0.427538007,3399.357666,1085.88501,1750.93689,-0.63541007,-0.397119969,32,1
570873,961158,24.19059944,474,1576.119995,133.2642975,0.447961092,2428.112549,485.6225281,1750.93689,-1.90623033,-0.409273684,32,1
569164,961081,25.76659966,520,1572.219971,13.43818855,0.394968182,3884.980225,1373.547974,1373.547974,-1.694426894,-0.365477353,32,1
570879,961181,23.68390083,477,1576.119995,148.7362671,0.447961092,2428.112549,485.6225281,1750.93689,-1.694426894,-0.409273684,32,1
568984,961215,20.52759933,506,1571.280029,62.40270233,0.41676566,4370.602539,1750.93689,1085.88501,1.059016824,-0.387549341,32,1
568326,961211,36.31529999,708,1570.51001,59.60127258,0.414412767,4607.02002,1373.547974,686.7739868,0,-0.385195196,32,1
568019,961292,28.26189995,770,1569.890015,74.57783508,0.4465096,4782.827148,971.2450562,485.6225281,-0.423606724,-0.409141511,32,1
568821,961260,23.40769958,511,1571.280029,57.75753403,0.434510857,4370.602539,1750.93689,1085.88501,-0.847213447,-0.405152559,32,1
570920,961377,21.92440033,509,1574.859985,71.56504822,0.429892033,2428.112549,485.6225281,1373.547974,0.529508412,-0.398750573,32,1
568052,961383,34.92039871,744,1568.839966,58.89717484,0.42186287,4343.540039,1085.88501,971.2450562,0.847213447,-0.394487143,32,1
568630,961390,28.42650032,557,1570.170044,69.30455017,0.424683869,4004.545898,2002.272949,1373.547974,-0.105901681,-0.413940251,32,1
570862,961433,17.28230095,521,1574.859985,51.54629135,0.382863373,2428.112549,485.6225281,1373.547974,0.63541007,-0.354961991,32,1
568672,961286,29.50390053,549,1571.280029,57.83560944,0.422635555,4370.602539,1750.93689,1085.88501,-0.423606724,-0.394735932,32,1
570945,961459,25.68939972,479,1574.859985,51.34019089,0.406090826,2428.112549,485.6225281,1373.547974,0.211803362,-0.373769194,32,1
576362,960729,17.29910088,305,1581.900024,330.9454041,0.34373951,3071.346436,686.7739868,5230.314453,0.211803362,-0.315045983,32,1
576250,960730,10.44750023,310,1580.810059,27.80145836,0.408762038,2615.157227,485.6225281,4782.827148,0.317705035,-0.338169694,32,1
579118,960802,20.16080093,683,1586.469971,53.13010406,0.394206166,4343.540039,485.6225281,4856.225098,0.105901681,-0.365237266,32,1
